section_id,rule_id,rule_label,heading_id,title,level,start_pdf_page,end_pdf_page,start_printed_page,end_printed_page,parent_chapter,parent_section,score,confidence,toc_corroborated,matched_title_pattern,positive_evidence,negative_evidence,text_quality_warning,review_required,review_reasons
SEC001,CORE_ESTABLISHMENT_PARENT,核心章节-发行人设立,H0044,二、发行人的设立情况,2,53,57,52,56,第四节 发行人基本情况,二、发行人的设立情况,48.5,high,true,^二、发行人的设立情况$,标题[发行人的设立×1；设立情况×1]；区间[发行人的设立×2；发起人×7；增资×1；持股数量×2；持股比例×3；整体变更×6；注册资本×6；股本演变×1；认缴×2；设立情况×2]；目录页PDF6，目录印刷页52,,false,true,区间含图表/续表提示，应人工检查跨页边界
SEC002,CORE_ESTABLISHMENT_SUBSECTION,核心章节-设立与股本演变子章节,H0045,（一）发行人的设立方式,3,53,54,52,53,第四节 发行人基本情况,二、发行人的设立情况,39.5,high,false,^\(一\)发行人的设立方式$,标题[发行人的设立×1]；区间[发行人的设立×2；发起人×6；持股数量×1；持股比例×1；整体变更×6；注册资本×2；设立情况×1],,false,false,
SEC003,CORE_ESTABLISHMENT_SUBSECTION,核心章节-设立与股本演变子章节,H0048,（二）云汉有限的设立情况,3,55,55,54,54,第四节 发行人基本情况,二、发行人的设立情况,38.5,high,false,^\(二\)云汉有限的设立情况$,标题[设立情况×1]；区间[发起人×1；增资×1；持股数量×1；持股比例×1；注册资本×3；认缴×2；设立情况×1],,false,false,
SEC004,CORE_ESTABLISHMENT_SUBSECTION,核心章节-设立与股本演变子章节,H0051,（三）云汉有限设立以来股本演变情况,3,56,57,55,56,第四节 发行人基本情况,二、发行人的设立情况,37.5,high,false,^\(三\)云汉有限设立以来股本演变情况$,标题[股本演变×1]；区间[持股比例×1；注册资本×1；股本演变×1],,false,true,区间含图表/续表提示，应人工检查跨页边界
SEC005,CORE_SHAREHOLDER_CHANGE_PARENT,核心章节-股份公司设立后的股东变化,H0052,三、发行人股份公司设立后的股东变化情况,2,58,71,57,70,第四节 发行人基本情况,三、发行人股份公司设立后的股东变化情况,38.5,high,true,^三、发行人股份公司设立后的股东变化情况$,标题[股东变化×1]；区间[历史沿革×2；发行人的设立×2；受让方×1；增加注册资本×1；增资×16；持股数量×10；持股比例×10；整体变更×11；新增注册资本×11；新增股东×1；注册资本×17；股东变化×1；股份转让×9；股权结构×5；股权转让×9；认缴×11；设立情况×1；转让方×1]；目录页PDF6，目录印刷页57,股份支付×4；股权激励×1,false,true,区间含图表/续表提示，应人工检查跨页边界
SEC006,CORE_SHARE_TRANSFER_EVENT,核心事件章节-股权转让,H0053,（一）2018 年4 月，股份公司第一次股权转让,3,58,58,57,57,第四节 发行人基本情况,三、发行人股份公司设立后的股东变化情况,43.5,high,false,^\([一二三四五六七八九十]+\).*股权转让.*$,标题[股权转让×1]；区间[持股数量×1；持股比例×1；新增股东×1；股东变化×1；股份转让×2；股权结构×1；股权转让×2],,false,true,区间含图表/续表提示，应人工检查跨页边界
SEC007,CORE_MIXED_CAPITAL_EVENT,核心事件章节-增资与股权转让混合披露,H0055,（二）2018 年6 月至7 月，股份公司增加注册资本暨第二次股权转让,3,59,60,58,59,第四节 发行人基本情况,三、发行人股份公司设立后的股东变化情况,48.5,high,false,^\([一二三四五六七八九十]+\).*(增加注册资本|增资).*(暨|和).*股权转让.*$,标题[增加注册资本×1；注册资本×1；股权转让×1]；区间[增加注册资本×1；增资×7；持股数量×2；持股比例×2；新增注册资本×11；注册资本×14；股份转让×4；股权结构×1；股权转让×3；认缴×11],股权激励×1,false,true,区间含图表/续表提示，应人工检查跨页边界；单个标题可能同时包含多个业务事件，需要后续事件切分
SEC008,CORE_SHARE_TRANSFER_EVENT,核心事件章节-股权转让,H0058,（三）2019 年8 月，股份公司第三次股权转让,3,61,61,60,60,第四节 发行人基本情况,三、发行人股份公司设立后的股东变化情况,43.5,high,false,^\([一二三四五六七八九十]+\).*股权转让.*$,标题[股权转让×1]；区间[持股数量×2；持股比例×2；股份转让×1；股权结构×1；股权转让×1],,false,true,区间含图表/续表提示，应人工检查跨页边界
SEC009,CORE_CAPITAL_INCREASE_EVENT,核心事件章节-增资或增加注册资本,H0060,（四）2020 年5 月，股份公司第二次增资,3,62,62,61,61,第四节 发行人基本情况,三、发行人股份公司设立后的股东变化情况,42.5,high,false,^\([一二三四五六七八九十]+\).*(增加注册资本|增资).*$,标题[增资×1]；区间[增资×5；持股数量×2；持股比例×2；注册资本×1；股权结构×1],,false,true,区间含图表/续表提示，应人工检查跨页边界
SEC010,CORE_MIXED_CAPITAL_EVENT,核心事件章节-增资与股权转让混合披露,H0062,（五）2020 年9 月，股份公司第三次增资和第四次股权转让,3,63,64,62,63,第四节 发行人基本情况,三、发行人股份公司设立后的股东变化情况,51.5,high,false,^\([一二三四五六七八九十]+\).*(增加注册资本|增资).*(暨|和).*股权转让.*$,标题[增资×1；股权转让×1]；区间[受让方×1；增资×3；持股数量×2；持股比例×2；注册资本×1；股份转让×1；股权结构×1；股权转让×2；转让方×1],,false,true,区间含图表/续表提示，应人工检查跨页边界；单个标题可能同时包含多个业务事件，需要后续事件切分
SEC011,SUPPORT_MAJOR_SHAREHOLDERS,辅助章节-主要股东及实际控制人,H0089,七、发行人主要股东及实际控制人的基本情况,2,79,90,78,89,第四节 发行人基本情况,七、发行人主要股东及实际控制人的基本情况,29.5,high,false,^七、发行人主要股东及实际控制人的基本情况$,标题[]；区间[发行前×1；持股比例×9；注册资本×12；股权结构×1],客户×1,false,false,
SEC012,SUPPORT_MAJOR_SHAREHOLDERS,辅助章节-主要股东及实际控制人,H0090,（一）公司控股股东及实际控制人,3,80,80,79,79,第四节 发行人基本情况,七、发行人主要股东及实际控制人的基本情况,22.5,medium,false,^\(一\)公司控股股东及实际控制人$,标题[]；区间[股权结构×1],,false,false,
SEC013,SUPPORT_MAJOR_SHAREHOLDERS,辅助章节-主要股东及实际控制人,H0094,（二）其他持有公司5%以上股份的主要股东,3,81,90,80,89,第四节 发行人基本情况,七、发行人主要股东及实际控制人的基本情况,29.5,high,false,^\(二\)其他持有公司5%以上股份的主要股东$,标题[]；区间[发行前×1；持股比例×9；注册资本×10],客户×1,false,false,
SEC014,CORE_CAPITAL_STRUCTURE_PARENT,核心章节-发行人股本情况,H0109,八、发行人股本情况,2,91,98,90,97,第四节 发行人基本情况,八、发行人股本情况,44.5,high,false,^八、发行人股本情况$,标题[股本情况×1]；区间[发行前×8；持股数量×4；持股比例×12；新增股东×2；注册资本×1；股本情况×2],,false,true,区间含图表/续表提示，应人工检查跨页边界
SEC015,CORE_CAPITAL_STRUCTURE_SUBSECTION,核心章节-发行前股本结构,H0110,（一）本次发行前后的股本情况,3,91,92,90,91,第四节 发行人基本情况,八、发行人股本情况,43.5,high,false,^\(一\)本次发行前后的股本情况$,标题[发行前×1；股本情况×1]；区间[发行前×4；持股比例×3；注册资本×1；股本情况×2],,false,false,
SEC016,CORE_CAPITAL_STRUCTURE_SUBSECTION,核心章节-发行前股本结构,H0113,（二）发行前本公司前十名股东,3,93,93,92,92,第四节 发行人基本情况,八、发行人股本情况,38.5,high,false,^\(二\)发行前本公司前十名股东$,标题[发行前×1]；区间[发行前×3；持股数量×2；持股比例×4],,false,false,
